GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "49001","Beaver, UT",7,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",309,369,431,479,554,627,741,841,921,989,1081,1161,1334,1450,1551,1581,1631,1732,1884,2048,2312,2423,2575,2920,2986,2954,3099,2998,2980,3038,3186,3414,3591,3689,3838,3979,4065,4437,4858,4947,5099,5198,5539,5609,6085,6293,6640,6933,7394,7680,8095
 "49001","Beaver, UT",7,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",376,424,475,530,590,698,763,821,925,1005,1112,1266,1440,1606,1798,2070,2423,2459,2436,2491,2655,2552,2640,2529,3485,2671,2877,2976,3133,3435,3375,3437,3830,3417,3367,3245,3281,3443,4500,4496,4675,4303,4796,4990,5166,5319,5600,5899,6676,6849,7068
 "49001","Beaver, UT",7,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",8049,8725,9716,11063,12248,13240,12598,14792,16727,18229,19233,20556,22225,23831,27089,30385,33392,29707,32081,36454,39220,42317,45823,47996,49311,51075,52581,63493,74971,77762,88563,102661,116719,102737,102878,125831,124564,102946,109203,114833,130647,131436,139674,143446,171840,164444,138469,124819,147719,171837,197189
 "49001","Beaver, UT",7,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",5279,5781,6571,7371,8021,8646,8383,9522,10834,11988,13014,14619,15522,15968,18775,20651,24053,20052,19137,20740,23683,24427,28037,27630,29000,32310,36049,40567,44107,48800,50851,54370,56171,62381,63525,68573,75597,78670,88363,89673,100323,89353,95986,98700,114330,108694,112208,110755,114255,121698,111374
 "49001","Beaver, UT",7,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",689,794,925,1080,1226,1527,1539,1742,2065,2320,2447,2745,3056,3371,4145,4771,5755,5280,5285,5508,6556,7243,8314,8639,9057,9667,10293,11101,11642,12539,14093,14380,14875,15460,16595,18916,20112,21757,24206,25471,26712,25282,27045,26124,31744,29920,30788,31158,31817,33541,33288
 "49001","Beaver, UT",7,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",360,430,509,600,623,755,793,869,1056,1254,1279,1467,1567,1751,2247,2587,3230,3135,3300,3103,3577,3993,4614,5224,5574,5900,6217,6711,7028,7474,8631,8905,9370,9727,10386,11972,12774,14128,15559,16037,16739,16530,17465,16819,20247,19564,20546,20638,20344,21973,21455
 "49001","Beaver, UT",7,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",329,364,416,480,603,772,746,873,1009,1066,1168,1278,1489,1620,1898,2184,2525,2145,1985,2405,2979,3250,3700,3415,3483,3767,4076,4390,4614,5065,5462,5475,5505,5733,6209,6944,7338,7629,8647,9434,9973,8752,9580,9305,11497,10356,10242,10520,11473,11568,11833
 "49001","Beaver, UT",7,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",2081,2150,2220,2612,3001,3067,2676,3528,3828,3921,3772,3192,3647,4492,4169,4963,3584,4375,7659,10206,8981,10647,9472,11727,11254,9098,6239,11825,19222,16423,23619,33911,45673,24896,22758,38342,28855,2519,-3366,-311,3612,16801,16643,18622,25766,25830,-4527,-17094,1647,16598,52527
 "49001","Beaver, UT",7,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",885,952,880,1119,1429,1324,523,773,731,629,369,-324,450,1258,773,1056,-473,370,3578,5305,4519,5432,4133,6401,4986,1665,-1015,3922,11382,9107,17126,29958,36703,15592,11083,29931,22605,-2287,-6775,-3990,-453,9913,5731,4319,18256,20251,-1677,-1465,8210,1560,34578
 "49001","Beaver, UT",7,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",1196,1198,1340,1493,1572,1743,2153,2755,3097,3292,3403,3516,3197,3234,3396,3907,4057,4005,4081,4901,4462,5215,5339,5326,6268,7433,7254,7903,7840,7316,6493,3953,8970,9304,11675,8411,6250,4806,3409,3679,4065,6888,10912,14303,7510,5579,-2850,-15629,-6563,15038,17949
 "49001","Beaver, UT",7,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",1781,1711,1779,1799,1800,1866,1808,1880,1939,1946,1872,1872,1901,1883,1980,2072,2157,1926,1940,2017,2029,2113,2198,2201,2287,2573,2676,2947,3125,3128,3058,3153,3116,3102,3096,3179,3274,3366,3612,3749,3848,3609,3779,3748,4039,3934,4061,4004,4109,4229,4209
 "49001","Beaver, UT",7,CAINC30,250,"..."," Wage and salary employment","Number of jobs",1238,1189,1259,1306,1317,1343,1284,1347,1383,1368,1266,1239,1272,1236,1305,1422,1542,1351,1370,1410,1435,1470,1565,1565,1668,1803,1919,2120,2280,2235,2266,2328,2309,2297,2340,2403,2473,2553,2657,2742,2782,2609,2695,2689,2964,2887,2985,2906,2987,3044,3004
 "49001","Beaver, UT",7,CAINC30,260,"..."," Proprietors employment","Number of jobs",543,522,520,493,483,523,524,533,556,578,606,633,629,647,675,650,615,575,570,607,594,643,633,636,619,770,757,827,845,893,792,825,807,805,756,776,801,813,955,1007,1066,1000,1084,1059,1075,1047,1076,1098,1122,1185,1205
 "49001","Beaver, UT",7,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",250,237,226,215,205,199,202,205,210,210,213,216,220,224,240,241,242,240,234,228,227,230,232,231,247,238,240,232,228,231,242,250,253,256,222,205,190,173,178,188,198,208,221,224,231,232,234,235,236,231,228
 "49001","Beaver, UT",7,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",293,285,294,278,278,324,322,328,346,368,393,417,409,423,435,409,373,335,336,379,367,413,401,405,372,532,517,595,617,662,550,575,554,549,534,571,611,640,777,819,868,792,863,835,844,815,842,863,886,954,977
 "49001","Beaver, UT",7,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",4519,5099,5461,6150,6804,7095,6968,7868,8627,9367,10274,10981,11691,12656,13681,14665,15481,15424,16537,18073,19330,20027,20848,21806,21561,19850,19649,21545,23991,24860,28961,32560,37458,33120,33229,39582,38046,30584,30233,30630,33952,36419,36961,38273,42545,41801,34097,31174,35950,40633,46849
