region_code,region_name,division_code,division_name,state_abbr,state_code,state_name,year,popestimate,npopchg,births,deaths,naturalinc,internationalmig,domesticmig,netmig,residual,rbirth,rdeath,rnaturalinc,rinternationalmig,rdomesticmig,rnetmig,percap_real_inc,employment_10,employment_20,employment_40,employment_50,employment_60,employment_70,employment_80,employment_90,employment_100,employment_200,employment_300,employment_400,employment_500,employment_600,employment_700,employment_800,employment_900,employment_1000,employment_1100,employment_1200,employment_1300,employment_1400,employment_1500,employment_1600,employment_1700,employment_1800,employment_1900,employment_2000,employment_2001,employment_2002,employment_2010,employment_2011,employment_2012
4,West,8,Mountain,ID,16,Idaho,2018,1750536,32821,22054,13451,8603,122,24020,24142,76,12.717649,7.7566476,4.9610019,.070352465,13.851362,13.921715,43636,949506,703879,245627,22809,222818,39810,909696,780319,13005,5334,3272,58159,68074,33856,108195,28844,11901,38959,48055,56491,6504,51967,17350,100190,18907,63815,47441,129377,12625,9058,107694,31117,76577
4,West,8,Mountain,ID,16,Idaho,2019,1787065,36529,22220,13308,8912,167,27360,27527,90,12.562185,7.5237427,5.0384426,.094414264,15.468109,15.562524,37748,825327,632988,192339,23223,169116,38975,786352,661626,12283,2873,2035,63690,66395,27563,96787,22959,11879,29007,32299,47273,7665,47500,11231,72078,14575,52621,40913,124726,13361,10063,101302,30278,71024
4,West,8,Mountain,ID,16,Idaho,2018,1750536,32821,22054,13451,8603,122,24020,24142,76,12.717649,7.7566476,4.9610019,.070352465,13.851362,13.921715,39439,791311,612909,178402,24868,153534,41226,750085,628595,12690,2598,2030,56843,68874,27316,94055,22543,10889,27756,26539,44236,8054,43138,9973,67064,13809,50335,39853,121490,13606,9749,98135,29402,68733
2,Midwest,3,East North Central,IL,17,Illinois,2018,12723071,-55757,147037,109549,37488,20260,-113699,-93439,194,11.531455,8.5914383,2.9400163,1.5889013,-8.9169044,-7.3280034,43688,7817318,6211106,1606212,59794,1546418,73362,7743956,6871654,13077,23201,25490,334532,596956,323378,721961,418726,115794,490938,312789,578468,105791,540878,213038,880020,169891,553722,453004,872302,80179,42911,749212,150059,599153
2,Midwest,3,East North Central,IL,17,Illinois,2018,12723071,-55757,147037,109549,37488,20260,-113699,-93439,194,11.531455,8.5914383,2.9400163,1.5889013,-8.9169044,-7.3280034,55174,7334790,6045861,1288929,61040,1227889,78333,7256457,6362880,11078,17676,23991,404352,705724,321557,748815,293375,137905,435284,268372,492362,95909,485738,160291,740177,139839,456767,423668,893577,89195,47031,757351,156747,600604
2,Midwest,3,East North Central,IL,17,Illinois,2018,12723071,-55757,147037,109549,37488,20260,-113699,-93439,194,11.531455,8.5914383,2.9400163,1.5889013,-8.9169044,-7.3280034,48528,7577634,6168678,1408956,62769,1346187,80619,7497015,6599554,11576,19507,23876,409232,693748,331163,755836,308227,136278,458411,288998,524816,100131,518442,173942,782859,146788,478652,437072,897461,87350,48053,762058,154467,607591
2,Midwest,3,East North Central,IL,17,Illinois,2019,12671821,-51250,144299,110004,34295,19209,-104986,-85777,232,11.364411,8.6634741,2.7009368,1.5128239,-8.2682772,-6.7554531,44582,7962884,6280415,1682469,58783,1623686,71764,7891120,7015765,13578,18127,25203,344078,607296,314064,694178,474905,114847,519187,328864,598780,98565,549418,207842,892775,180694,564855,468509,875355,79611,44379,751365,152817,598548
2,Midwest,3,East North Central,IN,18,Indiana,2018,6695497,37419,81801,63233,18568,14959,4044,19003,-152,12.251551,9.4705725,2.7809782,2.2404487,.60568053,2.8461292,46021,3588944,3029913,559031,62793,496238,77385,3511559,3080989,7398,9469,15336,213180,626153,131989,423570,139010,51711,138371,101023,137744,27480,170149,57868,329963,65205,234862,200508,430570,37587,21955,371028,111092,259936
2,Midwest,3,East North Central,IN,18,Indiana,2019,6732219,36722,80711,62175,18536,14379,3997,18376,-190,12.021553,9.2606964,2.7608566,2.1416895,.59533578,2.7370255,41925,3674399,3055171,619228,51048,568180,64241,3610158,3166220,7971,9668,15252,222505,576394,133620,406616,145924,47709,134647,123794,150405,28181,204482,70543,359247,67888,249695,211679,443938,36727,20566,386645,111562,275083
2,Midwest,4,West North Central,IA,19,Iowa,2019,3155070,6452,37672,28809,8863,2663,-5011,-2348,-63,11.952368,9.1403637,2.8120046,.84490222,-1.5898629,-.74496073,50054,1965778,1568789,396989,71617,325372,87603,1878175,1616374,11489,3124,7133,117101,237157,72687,228049,71803,36370,110296,53977,67571,13124,86218,41997,196894,34126,122212,105046,261801,18146,13272,230383,65516,164867
2,Midwest,4,West North Central,IA,19,Iowa,2018,3148618,7068,38068,28919,9149,2835,-4899,-2064,-17,12.10397,9.1949854,2.9089844,.90140676,-1.557669,-.65626228,46466,2059837,1627084,432753,71502,361251,90662,1969175,1700977,15223,5088,6955,117206,223317,75664,224367,78784,29158,128168,69225,78780,20408,89973,48064,217163,33698,130209,109527,268198,17548,12418,238232,67441,170791
2,Midwest,4,West North Central,KS,20,Kansas,2019,2913314,1955,35457,25230,10227,4104,-12357,-8253,-19,12.174761,8.663147,3.5116134,1.4091778,-4.2429848,-2.8338072,49860,1841393,1433074,408319,52862,355457,63753,1777640,1479572,9691,42405,8155,85966,169308,63973,180596,59756,31829,98640,60432,95360,15075,100490,26625,192991,30729,112574,94977,298068,26476,37542,234050,52581,181469
2,Midwest,4,West North Central,KS,20,Kansas,2018,2911359,2641,35912,25734,10178,4053,-11564,-7511,-26,12.340731,8.8431816,3.4975483,1.392765,-3.9738307,-2.5810654,46494,1869054,1447857,421197,53410,367787,62739,1806315,1508626,10014,46585,7949,88094,170113,64999,183245,59780,31737,99998,62134,100795,16667,104680,27508,193687,31068,114102,95471,297689,25443,36331,235915,53588,182327
3,South,6,East South Central,KY,21,Kentucky,2019,4467673,6520,53471,46074,7397,765,-1541,-776,-101,11.977162,10.320282,1.6568807,.17135511,-.34517416,-.17381905,43797,2263430,1864898,398532,83906,314626,100705,2162725,1815595,13486,22594,6851,130052,281207,76446,258788,97231,35257,82887,57482,87950,14749,109534,31496,213567,30576,143139,122303,347130,37596,47224,262310,91347,170963
3,South,6,East South Central,KY,21,Kentucky,2018,4461153,8885,54428,46582,7846,895,226,1121,-82,12.212595,10.452104,1.7604913,.20082076,.050710049,.2515308,40313,2572457,2039331,533126,67541,465585,82641,2489816,2135830,13993,15040,7007,132838,260777,82019,256359,140451,27410,112319,96414,119788,23795,155475,40473,280570,44860,189443,136799,353986,34918,45355,273713,98577,175136
