"","Group","Year","State","Age.Group","COVID.19.Deaths_Hypertensive diseases","COVID.19.Deaths_Diabetes","COVID.19.Deaths_Obesity","Number.of.Mentions_Hypertensive diseases","Number.of.Mentions_Diabetes","Number.of.Mentions_Obesity"
"405","By Year",2021,"Rhode Island","55-64",16,11,NA,16,11,NA
"406","By Year",2021,"Rhode Island","65-74",24,23,11,24,23,11
"407","By Year",2021,"Rhode Island","75-84",32,27,NA,32,27,NA
"408","By Year",2021,"Rhode Island","85+",48,17,NA,48,17,NA
"409","By Year",2021,"Rhode Island","Not stated",0,0,0,0,0,0
"410","By Year",2021,"Rhode Island","All Ages",124,85,26,124,85,26
"411","By Year",2021,"South Carolina","0-24",0,0,NA,0,0,NA
"412","By Year",2021,"South Carolina","25-34",NA,NA,NA,NA,NA,NA
"413","By Year",2021,"South Carolina","35-44",NA,NA,NA,NA,NA,NA
"414","By Year",2021,"South Carolina","45-54",15,16,NA,15,16,NA
"415","By Year",2021,"South Carolina","55-64",32,41,24,32,41,24
"416","By Year",2021,"South Carolina","65-74",77,83,23,78,84,25
"417","By Year",2021,"South Carolina","75-84",70,55,NA,73,56,NA
"418","By Year",2021,"South Carolina","85+",45,25,0,51,25,0
"419","By Year",2021,"South Carolina","Not stated",0,0,0,0,0,0
"420","By Year",2021,"South Carolina","All Ages",247,226,69,257,228,71
"421","By Year",2021,"South Dakota","0-24",0,0,0,0,0,0
"422","By Year",2021,"South Dakota","25-34",0,0,0,0,0,0
"423","By Year",2021,"South Dakota","35-44",0,0,0,0,0,0
"424","By Year",2021,"South Dakota","45-54",NA,NA,NA,NA,NA,NA
"425","By Year",2021,"South Dakota","55-64",NA,13,NA,NA,13,NA
"426","By Year",2021,"South Dakota","65-74",14,19,NA,14,19,NA
"427","By Year",2021,"South Dakota","75-84",17,22,NA,19,22,NA
"428","By Year",2021,"South Dakota","85+",26,18,0,27,19,0
"429","By Year",2021,"South Dakota","Not stated",0,0,0,0,0,0
"430","By Year",2021,"South Dakota","All Ages",69,76,21,72,77,21
"431","By Year",2021,"Tennessee","0-24",0,NA,NA,0,NA,NA
"432","By Year",2021,"Tennessee","25-34",NA,NA,NA,NA,NA,NA
"433","By Year",2021,"Tennessee","35-44",12,13,20,12,13,20
"434","By Year",2021,"Tennessee","45-54",43,55,46,45,57,46
"435","By Year",2021,"Tennessee","55-64",110,128,60,111,128,60
"436","By Year",2021,"Tennessee","65-74",196,191,38,201,194,38
"437","By Year",2021,"Tennessee","75-84",221,203,17,223,207,17
"438","By Year",2021,"Tennessee","85+",224,105,NA,227,105,NA
"439","By Year",2021,"Tennessee","Not stated",0,0,0,0,0,0
"440","By Year",2021,"Tennessee","All Ages",809,699,191,822,708,191
"441","By Year",2021,"Texas","0-24",NA,NA,10,NA,NA,10
"442","By Year",2021,"Texas","25-34",17,35,75,17,37,75
"443","By Year",2021,"Texas","35-44",69,113,135,69,115,136
"444","By Year",2021,"Texas","45-54",232,329,246,233,331,246
"445","By Year",2021,"Texas","55-64",650,764,340,651,774,343
"446","By Year",2021,"Texas","65-74",NA,NA,341,NA,NA,343
"447","By Year",2021,"Texas","75-84",NA,996,114,NA,NA,115
"448","By Year",2021,"Texas","85+",NA,503,21,NA,505,21
"449","By Year",2021,"Texas","Not stated",0,0,0,0,0,0
"450","By Year",2021,"Texas","All Ages",NA,NA,NA,NA,NA,NA
"451","By Year",2021,"Utah","0-24",0,NA,0,0,NA,0
"452","By Year",2021,"Utah","25-34",0,NA,NA,0,NA,NA
"453","By Year",2021,"Utah","35-44",NA,NA,12,NA,NA,12
"454","By Year",2021,"Utah","45-54",NA,NA,14,NA,NA,14
"455","By Year",2021,"Utah","55-64",18,22,15,19,22,15
"456","By Year",2021,"Utah","65-74",30,44,22,30,44,22
"457","By Year",2021,"Utah","75-84",27,32,NA,27,32,NA
"458","By Year",2021,"Utah","85+",34,20,0,36,20,0
"459","By Year",2021,"Utah","Not stated",0,0,0,0,0,0
"460","By Year",2021,"Utah","All Ages",122,136,73,125,136,73
"461","By Year",2021,"Vermont","0-24",0,0,0,0,0,0
"462","By Year",2021,"Vermont","25-34",0,0,0,0,0,0
"463","By Year",2021,"Vermont","35-44",NA,NA,NA,NA,NA,NA
"464","By Year",2021,"Vermont","45-54",NA,NA,NA,NA,NA,NA
"465","By Year",2021,"Vermont","55-64",NA,NA,NA,NA,NA,NA
"466","By Year",2021,"Vermont","65-74",NA,NA,NA,NA,NA,NA
"467","By Year",2021,"Vermont","75-84",NA,NA,0,NA,NA,0
"468","By Year",2021,"Vermont","85+",10,NA,0,12,NA,0
"469","By Year",2021,"Vermont","Not stated",0,0,0,0,0,0
"470","By Year",2021,"Vermont","All Ages",20,15,NA,22,15,NA
"471","By Year",2021,"Virginia","0-24",0,0,NA,0,0,NA
"472","By Year",2021,"Virginia","25-34",NA,NA,NA,NA,NA,NA
"473","By Year",2021,"Virginia","35-44",NA,NA,10,NA,NA,10
"474","By Year",2021,"Virginia","45-54",27,36,13,27,36,13
"475","By Year",2021,"Virginia","55-64",58,75,32,61,75,33
"476","By Year",2021,"Virginia","65-74",107,150,30,109,150,30
"477","By Year",2021,"Virginia","75-84",143,156,NA,145,160,NA
"478","By Year",2021,"Virginia","85+",198,94,NA,201,94,NA
"479","By Year",2021,"Virginia","Not stated",0,0,0,0,0,0
"480","By Year",2021,"Virginia","All Ages",539,522,102,549,526,103
"481","By Year",2021,"Washington","0-24",0,NA,0,0,NA,0
"482","By Year",2021,"Washington","25-34",NA,NA,NA,NA,NA,NA
"483","By Year",2021,"Washington","35-44",NA,NA,NA,NA,NA,NA
"484","By Year",2021,"Washington","45-54",13,19,15,13,19,15
"485","By Year",2021,"Washington","55-64",31,66,36,31,67,36
"486","By Year",2021,"Washington","65-74",69,84,34,70,85,35
"487","By Year",2021,"Washington","75-84",87,90,20,90,91,20
"488","By Year",2021,"Washington","85+",100,58,NA,103,58,NA
"489","By Year",2021,"Washington","Not stated",0,0,0,0,0,0
"490","By Year",2021,"Washington","All Ages",303,328,124,310,332,125
"491","By Year",2021,"West Virginia","0-24",0,0,0,0,0,0
"492","By Year",2021,"West Virginia","25-34",0,0,0,0,0,0
"493","By Year",2021,"West Virginia","35-44",NA,NA,NA,NA,NA,NA
"494","By Year",2021,"West Virginia","45-54",NA,10,12,NA,10,12
"495","By Year",2021,"West Virginia","55-64",22,24,NA,22,24,NA
"496","By Year",2021,"West Virginia","65-74",45,55,17,45,55,17
"497","By Year",2021,"West Virginia","75-84",49,45,NA,50,45,NA
"498","By Year",2021,"West Virginia","85+",55,27,NA,55,28,NA
"499","By Year",2021,"West Virginia","Not stated",0,0,0,0,0,0
"500","By Year",2021,"West Virginia","All Ages",181,164,50,182,165,50
"501","By Year",2021,"Wisconsin","0-24",0,0,0,0,0,0
"502","By Year",2021,"Wisconsin","25-34",NA,NA,NA,NA,NA,NA
"503","By Year",2021,"Wisconsin","35-44",NA,NA,NA,NA,NA,NA
"504","By Year",2021,"Wisconsin","45-54",27,24,13,28,25,13
"505","By Year",2021,"Wisconsin","55-64",58,57,38,58,59,38
"506","By Year",2021,"Wisconsin","65-74",131,121,52,131,122,52
"507","By Year",2021,"Wisconsin","75-84",157,125,31,157,126,31
"508","By Year",2021,"Wisconsin","85+",210,103,14,218,103,14
"509","By Year",2021,"Wisconsin","Not stated",0,0,0,0,0,0
"510","By Year",2021,"Wisconsin","All Ages",587,438,156,596,444,156
"511","By Year",2021,"Wyoming","0-24",0,0,0,0,0,0
"512","By Year",2021,"Wyoming","25-34",NA,0,0,NA,0,0
"513","By Year",2021,"Wyoming","35-44",0,NA,0,0,NA,0
"514","By Year",2021,"Wyoming","45-54",NA,NA,NA,NA,NA,NA
"515","By Year",2021,"Wyoming","55-64",NA,NA,NA,NA,NA,NA
"516","By Year",2021,"Wyoming","65-74",11,NA,NA,11,NA,NA
"517","By Year",2021,"Wyoming","75-84",15,NA,NA,15,NA,NA
"518","By Year",2021,"Wyoming","85+",17,NA,NA,17,NA,NA
"519","By Year",2021,"Wyoming","Not stated",0,0,0,0,0,0
"520","By Year",2021,"Wyoming","All Ages",50,28,NA,50,31,NA
"521","By Year",2021,"Puerto Rico","0-24",0,0,0,0,0,0
"522","By Year",2021,"Puerto Rico","25-34",NA,0,NA,NA,0,NA
"523","By Year",2021,"Puerto Rico","35-44",0,NA,NA,0,NA,NA
"524","By Year",2021,"Puerto Rico","45-54",14,15,10,14,15,10
"525","By Year",2021,"Puerto Rico","55-64",16,22,13,16,22,13
"526","By Year",2021,"Puerto Rico","65-74",18,32,NA,19,32,NA
"527","By Year",2021,"Puerto Rico","75-84",30,32,NA,30,33,NA
"528","By Year",2021,"Puerto Rico","85+",18,17,NA,18,17,NA
"529","By Year",2021,"Puerto Rico","Not stated",0,0,0,0,0,0
"530","By Year",2021,"Puerto Rico","All Ages",97,121,44,98,122,44
