region_code,region_name,division_code,division_name,state_abbr,state_code,state_name,year,age_group,race,popestimate
4,West,8,Mountain,ID,16,Idaho,2018,2,6,4744
4,West,8,Mountain,ID,16,Idaho,2019,3,2,1860
4,West,8,Mountain,ID,16,Idaho,2018,4,6,2573
4,West,8,Mountain,ID,16,Idaho,2019,6,1,269695
4,West,8,Mountain,ID,16,Idaho,2017,2,3,2860
4,West,8,Mountain,ID,16,Idaho,2018,1,2,1924
4,West,8,Mountain,ID,16,Idaho,2018,2,7,35473
4,West,8,Mountain,ID,16,Idaho,2018,5,5,238
4,West,8,Mountain,ID,16,Idaho,2019,5,4,2799
4,West,8,Mountain,ID,16,Idaho,2019,4,7,22915
4,West,8,Mountain,ID,16,Idaho,2018,5,3,2371
4,West,8,Mountain,ID,16,Idaho,2019,5,7,15552
4,West,8,Mountain,ID,16,Idaho,2018,5,2,1022
4,West,8,Mountain,ID,16,Idaho,2017,3,3,2363
4,West,8,Mountain,ID,16,Idaho,2017,4,2,1226
4,West,8,Mountain,ID,16,Idaho,2017,3,1,173350
4,West,8,Mountain,ID,16,Idaho,2018,1,3,1863
4,West,8,Mountain,ID,16,Idaho,2017,4,7,21191
4,West,8,Mountain,ID,16,Idaho,2018,3,5,506
4,West,8,Mountain,ID,16,Idaho,2017,5,2,979
4,West,8,Mountain,ID,16,Idaho,2019,5,5,271
4,West,8,Mountain,ID,16,Idaho,2019,6,5,218
4,West,8,Mountain,ID,16,Idaho,2018,5,4,2621
4,West,8,Mountain,ID,16,Idaho,2017,3,5,462
4,West,8,Mountain,ID,16,Idaho,2019,3,4,4105
4,West,8,Mountain,ID,16,Idaho,2019,1,1,123835
4,West,8,Mountain,ID,16,Idaho,2018,2,5,599
4,West,8,Mountain,ID,16,Idaho,2017,2,7,34436
4,West,8,Mountain,ID,16,Idaho,2017,1,6,4619
4,West,8,Mountain,ID,16,Idaho,2019,2,5,596
4,West,8,Mountain,ID,16,Idaho,2017,6,7,9969
4,West,8,Mountain,ID,16,Idaho,2017,2,1,177551
4,West,8,Mountain,ID,16,Idaho,2019,3,1,183826
2,Midwest,3,East North Central,IL,17,Illinois,2017,2,6,26386
2,Midwest,3,East North Central,IL,17,Illinois,2019,4,7,269028
2,Midwest,3,East North Central,IL,17,Illinois,2017,4,1,1082290
2,Midwest,3,East North Central,IL,17,Illinois,2017,3,1,945357
2,Midwest,3,East North Central,IL,17,Illinois,2019,1,4,68308
2,Midwest,3,East North Central,IL,17,Illinois,2019,1,6,29327
2,Midwest,3,East North Central,IL,17,Illinois,2019,2,4,126872
2,Midwest,3,East North Central,IL,17,Illinois,2018,1,5,399
2,Midwest,3,East North Central,IL,17,Illinois,2017,6,3,2734
2,Midwest,3,East North Central,IL,17,Illinois,2019,5,5,428
2,Midwest,3,East North Central,IL,17,Illinois,2017,4,5,458
2,Midwest,3,East North Central,IL,17,Illinois,2017,1,3,1911
2,Midwest,3,East North Central,IL,17,Illinois,2018,1,6,28619
2,Midwest,3,East North Central,IL,17,Illinois,2018,5,7,169316
2,Midwest,3,East North Central,IL,17,Illinois,2018,1,2,190405
2,Midwest,3,East North Central,IL,17,Illinois,2017,1,2,197500
2,Midwest,3,East North Central,IL,17,Illinois,2017,5,4,73475
2,Midwest,3,East North Central,IL,17,Illinois,2017,6,4,86247
2,Midwest,3,East North Central,IL,17,Illinois,2017,5,1,1193505
2,Midwest,3,East North Central,IL,17,Illinois,2017,5,6,10585
2,Midwest,3,East North Central,IL,17,Illinois,2018,3,7,331233
2,Midwest,3,East North Central,IL,17,Illinois,2019,1,2,183682
2,Midwest,3,East North Central,IL,17,Illinois,2017,3,5,560
2,Midwest,3,East North Central,IL,17,Illinois,2017,1,7,254885
2,Midwest,3,East North Central,IL,17,Illinois,2018,6,6,10459
2,Midwest,3,East North Central,IL,17,Illinois,2017,5,5,417
2,Midwest,3,East North Central,IL,17,Illinois,2018,6,5,332
2,Midwest,3,East North Central,IL,17,Illinois,2017,5,7,163046
2,Midwest,3,East North Central,IL,17,Illinois,2018,1,7,258020
2,Midwest,3,East North Central,IL,17,Illinois,2018,3,1,945606
2,Midwest,3,East North Central,IL,17,Illinois,2017,3,7,331509
2,Midwest,3,East North Central,IL,17,Illinois,2018,4,5,455
2,Midwest,3,East North Central,IL,17,Illinois,2018,4,6,13444
2,Midwest,3,East North Central,IL,17,Illinois,2017,1,5,404
2,Midwest,3,East North Central,IL,17,Illinois,2017,6,1,1487816
2,Midwest,3,East North Central,IL,17,Illinois,2017,3,2,221215
2,Midwest,3,East North Central,IL,17,Illinois,2019,3,3,2434
2,Midwest,3,East North Central,IL,17,Illinois,2018,4,2,224818
2,Midwest,3,East North Central,IL,17,Illinois,2019,4,6,13600
2,Midwest,3,East North Central,IL,17,Illinois,2017,3,3,2402
2,Midwest,3,East North Central,IL,17,Illinois,2017,5,2,219675
2,Midwest,3,East North Central,IL,17,Illinois,2019,5,2,220002
2,Midwest,3,East North Central,IL,17,Illinois,2017,3,4,117880
2,Midwest,3,East North Central,IL,17,Illinois,2019,3,5,574
2,Midwest,3,East North Central,IL,17,Illinois,2018,2,1,997388
2,Midwest,3,East North Central,IL,17,Illinois,2018,5,6,10716
2,Midwest,3,East North Central,IL,17,Illinois,2019,3,4,121425
2,Midwest,3,East North Central,IL,17,Illinois,2018,4,1,1037884
2,Midwest,3,East North Central,IL,17,Illinois,2017,4,6,13208
2,Midwest,3,East North Central,IL,17,Illinois,2019,6,1,1549346
2,Midwest,3,East North Central,IL,17,Illinois,2018,5,3,2886
2,Midwest,3,East North Central,IL,17,Illinois,2018,5,2,220326
2,Midwest,3,East North Central,IL,17,Illinois,2019,3,2,219000
2,Midwest,3,East North Central,IL,17,Illinois,2019,2,2,276817
2,Midwest,3,East North Central,IL,17,Illinois,2019,5,6,10926
2,Midwest,3,East North Central,IL,17,Illinois,2018,3,3,2409
2,Midwest,3,East North Central,IL,17,Illinois,2018,1,4,67994
2,Midwest,3,East North Central,IL,17,Illinois,2018,1,3,1836
2,Midwest,3,East North Central,IL,17,Illinois,2017,6,5,299
2,Midwest,3,East North Central,IL,17,Illinois,2018,2,4,127360
2,Midwest,3,East North Central,IL,17,Illinois,2018,5,4,74633
2,Midwest,3,East North Central,IL,17,Illinois,2018,3,6,17862
2,Midwest,3,East North Central,IL,17,Illinois,2018,5,1,1185760
2,Midwest,3,East North Central,IL,17,Illinois,2019,6,2,237467
2,Midwest,3,East North Central,IL,17,Illinois,2019,3,7,329122
2,Midwest,3,East North Central,IL,17,Illinois,2018,6,3,2850
2,Midwest,3,East North Central,IL,17,Illinois,2019,6,4,95735
2,Midwest,3,East North Central,IL,17,Illinois,2017,4,2,229620
2,Midwest,3,East North Central,IL,17,Illinois,2018,6,4,90980
2,Midwest,3,East North Central,IL,17,Illinois,2017,4,3,2804
2,Midwest,3,East North Central,IL,17,Illinois,2017,2,2,266003
2,Midwest,3,East North Central,IL,17,Illinois,2018,3,5,575
2,Midwest,3,East North Central,IL,17,Illinois,2018,3,2,219619
