region_code,region_name,division_code,division_name,state_abbr,state_code,state_name,year,race,povrate15,childpovrate15,obese_pct,highbloodpress_pct,diabetes_pct,foodinsec_15_17,popestimate,npopchg,births,deaths,naturalinc,internationalmig,domesticmig,netmig,residual,rbirth,rdeath,rnaturalinc,rinternationalmig,rdomesticmig,rnetmig,percap_real_inc,employment_10,employment_20,employment_40,employment_50,employment_60,employment_70,employment_80,employment_90,employment_100,employment_200,employment_300,employment_400,employment_500,employment_600,employment_700,employment_800,employment_900,employment_1000,employment_1100,employment_1200,employment_1300,employment_1400,employment_1500,employment_1600,employment_1700,employment_1800,employment_1900,employment_2000,employment_2001,employment_2002,employment_2010,employment_2011,employment_2012
1,Northeast,1,New England,CT,9,Connecticut,2017,1,9.612500000000001,13.1375,25.6,31.8,8.6,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,2300325,1744934,555391,5039,550352,9708,2290617,2035680,2309,2818,5889,113344,168475,69420,221181,68859,38824,192085,119775,163427,36119,121592,87231,306997,55834,142901,118600,254937,18082,13475,223380,74571,148809
1,Northeast,1,New England,CT,9,Connecticut,2017,2,9.612500000000001,13.1375,35.8,36.2,15,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,2300325,1744934,555391,5039,550352,9708,2290617,2035680,2309,2818,5889,113344,168475,69420,221181,68859,38824,192085,119775,163427,36119,121592,87231,306997,55834,142901,118600,254937,18082,13475,223380,74571,148809
1,Northeast,1,New England,CT,9,Connecticut,2017,3,9.612500000000001,13.1375,,44,,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,2300325,1744934,555391,5039,550352,9708,2290617,2035680,2309,2818,5889,113344,168475,69420,221181,68859,38824,192085,119775,163427,36119,121592,87231,306997,55834,142901,118600,254937,18082,13475,223380,74571,148809
1,Northeast,1,New England,CT,9,Connecticut,2017,4,9.612500000000001,13.1375,10,16.5,7.6,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,2300325,1744934,555391,5039,550352,9708,2290617,2035680,2309,2818,5889,113344,168475,69420,221181,68859,38824,192085,119775,163427,36119,121592,87231,306997,55834,142901,118600,254937,18082,13475,223380,74571,148809
1,Northeast,1,New England,CT,9,Connecticut,2017,5,9.612500000000001,13.1375,,,,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,2300325,1744934,555391,5039,550352,9708,2290617,2035680,2309,2818,5889,113344,168475,69420,221181,68859,38824,192085,119775,163427,36119,121592,87231,306997,55834,142901,118600,254937,18082,13475,223380,74571,148809
1,Northeast,1,New England,CT,9,Connecticut,2017,6,9.612500000000001,13.1375,27,29.5,11.9,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,2300325,1744934,555391,5039,550352,9708,2290617,2035680,2309,2818,5889,113344,168475,69420,221181,68859,38824,192085,119775,163427,36119,121592,87231,306997,55834,142901,118600,254937,18082,13475,223380,74571,148809
1,Northeast,1,New England,CT,9,Connecticut,2017,7,9.612500000000001,13.1375,32,24.5,12.5,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,2300325,1744934,555391,5039,550352,9708,2290617,2035680,2309,2818,5889,113344,168475,69420,221181,68859,38824,192085,119775,163427,36119,121592,87231,306997,55834,142901,118600,254937,18082,13475,223380,74571,148809
3,South,5,South Atlantic,DE,10,Delaware,2017,1,12.86666666666667,20.1,30.2,36,11.1,11.2,956823,7902,10978,9057,1921,1528,4430,5958,23,11.52096,9.5049496,2.0160105,1.6035732,4.6491027,6.252676,48175,584834,467019,117815,1886,115929,3720,581114,507320,,,2283,31478,27492,12278,63056,19911,6297,60130,29224,37509,10145,34735,9996,75611,15641,43107,26935,73794,5752,8635,59407,32284,27123
3,South,5,South Atlantic,DE,10,Delaware,2017,2,12.86666666666667,20.1,40.2,39.4,11.6,11.2,956823,7902,10978,9057,1921,1528,4430,5958,23,11.52096,9.5049496,2.0160105,1.6035732,4.6491027,6.252676,48175,584834,467019,117815,1886,115929,3720,581114,507320,,,2283,31478,27492,12278,63056,19911,6297,60130,29224,37509,10145,34735,9996,75611,15641,43107,26935,73794,5752,8635,59407,32284,27123
3,South,5,South Atlantic,DE,10,Delaware,2017,3,12.86666666666667,20.1,33.4,40.4,,11.2,956823,7902,10978,9057,1921,1528,4430,5958,23,11.52096,9.5049496,2.0160105,1.6035732,4.6491027,6.252676,48175,584834,467019,117815,1886,115929,3720,581114,507320,,,2283,31478,27492,12278,63056,19911,6297,60130,29224,37509,10145,34735,9996,75611,15641,43107,26935,73794,5752,8635,59407,32284,27123
